timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:29:05.478795,51,47,0,28,20,4.248830068753305,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:05.530096,51,47,0,28,20,4.248830068753305,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051301,1,0
2021-06-09 06:29:05.896060,13,9,0,11,0,3.0269868333592873,2,3,6,3.6666666666666665,0,0,11,1,0,0,0
2021-06-09 06:29:05.899757,13,9,0,11,0,3.0269868333592873,2,3,6,3.6666666666666665,0,0,11,1,0:00:00.003697,1,0
2021-06-09 06:29:05.899894,13,9,0,11,0,3.0269868333592873,2,3,6,3.6666666666666665,0,0,11,1,0:00:00.000137,2,0
2021-06-09 06:29:05.901851,13,9,0,11,0,3.0269868333592873,2,3,6,3.6666666666666665,0,0,11,1,0:00:00.001957,3,0
2021-06-09 06:29:06.337470,51,47,0,28,20,4.3640124801440345,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:06.389205,51,47,0,28,20,4.3640124801440345,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051735,1,0
2021-06-09 06:29:06.490969,51,47,0,28,20,4.253199059469462,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:07.346809,51,47,0,28,20,4.338325341632129,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:07.350102,51,47,0,28,20,4.253199059469462,3,3,34,16.333333333333332,0,0,49,1,0:00:00.859133,1,0
2021-06-09 06:29:07.398549,51,47,0,28,20,4.338325341632129,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051740,1,0
2021-06-09 06:29:07.551209,51,47,0,25,23,4.410882274762921,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:07.603281,51,47,0,25,23,4.410882274762921,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052072,1,0
2021-06-09 06:29:08.409577,51,47,0,26,22,4.397532204546911,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:08.561428,51,47,0,20,28,4.304299116269196,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:08.564974,51,47,0,26,22,4.397532204546911,3,3,34,16.333333333333332,0,0,49,1,0:00:00.155397,1,0
2021-06-09 06:29:08.614730,51,47,0,20,28,4.304299116269196,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053302,1,0
2021-06-09 06:29:09.471343,51,47,0,30,18,4.355537901604238,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:09.622824,51,47,0,25,23,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:09.630141,51,47,0,30,18,4.355537901604238,3,3,34,16.333333333333332,0,0,49,1,0:00:00.158798,1,0
2021-06-09 06:29:09.676273,51,47,0,25,23,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053449,1,0
2021-06-09 06:29:10.532428,51,47,0,25,23,4.36792877308952,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:10.584938,51,47,0,25,23,4.36792877308952,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052510,1,0
2021-06-09 06:29:10.686908,51,47,0,27,21,4.25274636169879,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:10.739158,51,47,0,27,21,4.25274636169879,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052250,1,0
2021-06-09 06:29:11.545984,51,47,0,25,23,4.326754940342268,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:11.697434,51,47,0,21,27,4.184693910972925,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:11.700886,51,47,0,25,23,4.326754940342268,3,3,34,16.333333333333332,0,0,49,1,0:00:00.154902,1,0
2021-06-09 06:29:12.555753,51,47,0,25,23,4.353127057360825,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:12.558542,51,47,0,21,27,4.184693910972925,3,3,34,16.333333333333332,0,0,49,1,0:00:00.861108,1,0
2021-06-09 06:29:12.608507,51,47,0,25,23,4.353127057360825,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052754,1,0
2021-06-09 06:29:12.760775,51,47,0,22,26,4.392342743635335,3,3,34,16.333333333333332,0,0,49,1,0,0,0
