"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:02.753080,72,56,0,61,8,4.253432822006452,3,4,29,17.25,0,0,69,1,0:00:00.203416,1,0"
"2021-03-30 01:15:02.784234,72,56,0,62,7,4.386900050818074,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:03.144671,72,56,0,62,7,4.386900050818074,3,4,29,17.25,0,0,69,1,0:00:00.360437,1,0"
"2021-03-30 01:15:03.190038,179,70,0,158,15,4.801571125521339,6,7,36,24.714285714285715,0,0,173,1,0,0,0"
"2021-03-30 01:15:03.453210,179,70,0,158,15,4.801571125521339,6,7,36,24.714285714285715,0,0,173,1,0:00:00.263172,1,0"
"2021-03-30 01:15:03.472331,183,49,0,158,18,4.8482558505319675,7,8,36,22.0,0,0,176,1,0,0,0"
"2021-03-30 01:15:03.759186,183,49,0,158,18,4.8482558505319675,7,8,36,22.0,0,0,176,1,0:00:00.286855,1,0"
"2021-03-30 01:15:03.784274,157,52,0,134,17,4.758283584309828,6,7,30,21.571428571428573,0,0,151,1,0,0,0"
"2021-03-30 01:15:04.074759,157,52,0,134,17,4.758283584309828,6,7,30,21.571428571428573,0,0,151,1,0:00:00.290485,1,0"
"2021-03-30 01:15:04.097363,66,50,0,58,5,4.27318648518716,3,4,26,15.75,0,0,63,1,0,0,0"
"2021-03-30 01:15:04.325996,66,50,0,58,5,4.27318648518716,3,4,26,15.75,0,0,63,1,0:00:00.228633,1,0"
"2021-03-30 01:15:04.346440,72,56,0,63,6,4.241161858574118,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:04.555895,72,56,0,63,6,4.241161858574118,3,4,29,17.25,0,0,69,1,0:00:00.209455,1,0"
"2021-03-30 01:15:04.581795,72,56,0,59,10,4.329558080471345,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:04.795158,72,56,0,59,10,4.329558080471345,3,4,29,17.25,0,0,69,1,0:00:00.213363,1,0"
"2021-03-30 01:15:04.815066,72,56,0,60,9,4.25391801511533,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:05.090522,72,56,0,60,9,4.25391801511533,3,4,29,17.25,0,0,69,1,0:00:00.275456,1,0"
"2021-03-30 01:15:05.128240,72,56,0,64,5,4.142806904004218,3,4,29,17.25,0,0,69,1,0,0,0"
